Date,Open,High,Low,Close,Adj Close,Volume
2024-03-02,85.059731,94.470520,84.583656,94.419029,94.419029,1040122066
2024-03-03,94.426163,94.525162,87.497650,90.668350,90.668350,707371775
2024-03-04,90.672821,92.424568,87.784439,88.935455,88.935455,830931633
2024-03-05,88.946327,91.831970,74.434402,82.041199,82.041199,1367572503
2024-03-06,82.039032,87.258514,79.986244,85.829971,85.829971,742784629
2024-03-07,85.829971,89.603676,83.591751,88.108047,88.108047,651436457
2024-03-08,88.107620,89.309906,84.958397,88.630768,88.630768,704449860
2024-03-09,88.630913,91.011528,87.224251,90.846802,90.846802,526302540
2024-03-10,90.846184,90.911903,85.682350,87.507553,87.507553,482197828
2024-03-11,87.505875,105.584137,84.834015,103.792114,103.792114,1538166122
2024-03-12,103.793205,104.086884,93.295799,97.538002,97.538002,1160292398
2024-03-13,97.538002,98.784698,94.631676,97.321983,97.321983,668550065
2024-03-14,97.323357,98.015755,90.354042,94.116142,94.116142,835527149
2024-03-15,94.120766,95.271790,84.351768,89.713394,89.713394,922321450
2024-03-16,89.711891,90.632874,82.469444,84.138443,84.138443,622982146
2024-03-17,84.142258,86.679932,81.124657,85.857529,85.857529,503681869
2024-03-18,85.856873,87.869095,80.949005,87.112206,87.112206,563769105
2024-03-19,87.112518,87.429291,77.297951,78.586372,78.586372,978488125
2024-03-20,78.586372,85.249886,77.285156,84.789017,84.789017,727339448
2024-03-21,84.789017,86.803009,83.856575,85.701622,85.701622,563676121
2024-03-22,85.704666,86.082878,80.807465,83.311508,83.311508,473810620
2024-03-23,83.311508,87.455254,83.151237,85.424141,85.424141,494227407
2024-03-24,85.423538,90.424782,85.375748,89.690750,89.690750,614433135
2024-03-25,89.690750,91.936607,88.718079,90.724037,90.724037,620722715
2024-03-26,90.724037,96.847153,87.784370,95.864464,95.864464,964048565
2024-03-27,95.865128,98.305832,92.853401,93.675514,93.675514,984598281
2024-03-28,93.675514,96.385338,93.524315,94.219116,94.219116,702908138
2024-03-29,94.219017,110.005928,93.110497,109.258972,109.258972,1803906237
2024-03-30,109.243942,109.249985,101.306541,102.863113,102.863113,729886796
2024-03-31,102.866302,106.548813,101.554459,105.183403,105.183403,638798519
2024-04-01,105.183403,112.315865,97.518333,99.375343,99.375343,1354224503
2024-04-02,99.375175,108.811211,94.320908,106.817543,106.817543,1576166267
2024-04-03,106.818962,109.544998,96.746460,98.572235,98.572235,990603461
2024-04-04,98.572235,103.966522,96.451706,98.408485,98.408485,952231750
2024-04-05,98.408485,100.102203,95.338783,98.043449,98.043449,735964372
2024-04-06,98.043205,102.313103,97.303543,101.501724,101.501724,496165238
2024-04-07,101.499985,105.677269,100.435593,101.175629,101.175629,581333824
2024-04-08,101.175636,105.842079,99.911369,103.311058,103.311058,706651161
2024-04-09,103.311058,103.385590,96.744263,97.498123,97.498123,593234437
2024-04-10,97.498123,98.134644,94.457336,96.699760,96.699760,571530949
2024-04-11,96.700424,99.800484,95.044495,98.689102,98.689102,533522657
2024-04-12,98.688545,99.288963,80.812927,86.269569,86.269569,1052316398
2024-04-13,86.263977,86.492859,71.311768,77.606583,77.606583,1220477380
2024-04-14,77.597496,80.364578,74.138649,79.914330,79.914330,833631968
2024-04-15,79.915688,82.753822,75.949974,78.073151,78.073151,713883734
2024-04-16,78.072556,80.381912,75.870285,79.922195,79.922195,487783387
2024-04-17,79.925522,80.716110,76.526031,80.167480,80.167480,428178765
2024-04-18,80.167564,82.393158,78.880608,80.799385,80.799385,502655456
2024-04-19,80.799385,82.017540,76.203392,80.909790,80.909790,484059666
2024-04-20,80.909210,85.890221,80.441826,85.092041,85.092041,342916025
2024-04-21,85.091858,85.682602,82.989189,84.165680,84.165680,297434669
2024-04-22,84.164932,86.377350,84.087967,85.467796,85.467796,379391982
2024-04-23,85.467796,85.906830,84.179588,85.108002,85.108002,315895462
2024-04-24,85.107826,87.638771,82.431122,83.163177,83.163177,520985490
2024-04-25,83.166000,85.020462,82.157448,83.798103,83.798103,455920818
2024-04-26,83.798103,88.488274,83.213669,87.992081,87.992081,600181600
2024-04-27,87.991898,88.360016,83.350380,83.882629,83.882629,431405902
2024-04-28,83.882629,85.363808,83.702888,83.952034,83.952034,297363904
2024-04-29,83.952682,85.481102,81.940971,83.515251,83.515251,384053398
2024-04-30,83.514412,84.445656,77.615334,79.495316,79.495316,409800293
2024-05-01,79.495338,80.695045,74.917747,80.095863,80.095863,465312453
2024-05-02,80.095863,81.140411,78.660805,80.122772,80.122772,313083456
2024-05-03,80.122772,82.598335,79.455429,81.930138,81.930138,306780202
2024-05-04,81.929993,82.923904,81.645073,81.687035,81.687035,252821970
2024-05-05,81.687035,81.737373,80.543060,81.375572,81.375572,266211647
2024-05-06,81.375359,83.981728,80.237999,80.787651,80.787651,401251818
2024-05-07,80.787560,82.540146,80.020950,80.817924,80.817924,334396236
2024-05-08,80.818169,82.107620,79.409798,81.636353,81.636353,362774817
2024-05-09,81.636353,83.071136,80.767380,83.056221,83.056221,301587301
2024-05-10,83.057304,83.422516,79.679558,80.226929,80.226929,314299445
2024-05-11,80.226959,82.189949,80.223770,81.345299,81.345299,239865771
2024-05-12,81.347336,82.101158,80.951012,81.382782,81.382782,199954369
2024-05-13,81.382813,82.464737,79.070953,80.601341,80.601341,335695526
2024-05-14,80.601257,81.170593,78.669899,78.731247,78.731247,391753723
2024-05-15,78.731339,82.784592,78.317101,82.534523,82.534523,377340508
2024-05-16,82.534500,83.187836,81.492264,82.457687,82.457687,324211603
2024-05-17,82.456741,84.219322,82.000473,84.185486,84.185486,315118606
2024-05-18,84.185486,84.616539,83.626663,83.866615,83.866615,250565475
2024-05-19,83.866646,84.377007,81.861725,82.221214,82.221214,245911982
2024-05-20,82.254494,84.165260,82.254494,83.509987,83.509987,275678784
